future_break_up,future_break_down,pullback_pips,pullback_pct_of_range
1,1,11921199.999999953,125.58678521764661
1,1,16368800.000000047,186.0767551837052
1,0,10412899.999999937,106.21831424112207
1,0,7612399.999999907,63.85598765224925
1,1,21303300.00000002,130.14576511411929
1,0,19373099.999999978,221.4549445022351
1,1,28214000.000000086,308.11737596784957
1,1,28214000.000000086,348.398409523102
1,0,8476399.999999994,51.411068991660315
1,0,12996199.999999953,90.84440095064939
1,0,12996199.999999953,108.93987275455326
1,0,9501499.999999942,93.48189689098643
1,0,13923899.999999994,133.1042262138061
1,0,13923899.999999994,105.27911566117423
1,0,6602100.000000064,49.46467772025463
1,0,6164000.000000088,69.5679653288794
1,0,8127799.999999989,99.3484983681899
1,0,12967200.000000011,84.05795222506765
1,0,9349300.000000076,66.38383379367714
1,0,8306299.999999901,53.58246408504692
1,0,8306299.999999901,53.58246408504692
1,0,10693000.00000003,82.46190388056034
1,0,8895000.0,72.90266531160897
1,0,10960800.000000017,131.9576706836997
1,0,10295800.000000017,75.76123268922315
1,1,19007400.000000052,177.75554100813616
1,1,19007400.000000052,173.41252463323866
1,0,7236200.000000099,43.41346644188665
1,0,6740800.000000018,42.650334075724054
1,0,6688999.999999942,92.43801995522306
1,0,5269900.000000052,78.17914787562364
1,0,4822799.999999989,96.11000398565088
1,0,8301799.99999993,114.77037077999242
1,0,8301799.99999993,124.1112273882494
1,0,6110299.999999989,107.2697587865574
1,1,7097100.000000064,176.47014943929423
1,1,9645200.000000041,254.22915733150728
1,0,10124200.000000129,47.211393184235284
1,1,19900499.999999955,219.74933745583027
1,0,18551900.000000022,196.10887949260066
1,0,9099300.000000004,61.72657771024279
1,0,7677799.999999989,38.58094017738251
1,0,24130299.99999999,113.1311094962377
1,0,23850599.999999978,128.56149504902433
1,0,22997900.000000007,252.74361764091742
1,0,17079200.000000056,74.26417194613443
1,0,23515700.00000007,151.39772346836355
1,0,34995100.00000009,379.7128968555369
1,0,33317399.999999907,176.8955905386383
1,0,25621999.99999997,99.54272971324407
1,0,22160399.999999937,60.70261460287861
1,0,22160399.999999937,52.57508896797138
1,0,12881100.000000006,92.59517511070253
1,0,10887299.999999959,84.24420629086573
1,0,9736199.999999953,104.05925355906074
1,1,23118999.99999994,179.48001335289635
1,1,26045399.999999937,202.19856999790332
1,0,23842999.999999955,96.29372352154837
1,0,22363699.999999955,112.20392046680338
1,0,24449899.99999998,122.45829138681464
1,0,15197799.999999989,55.0256159597386
1,0,20099600.000000063,73.03474488201614
1,0,20099600.000000063,69.33622182513146
1,0,13662300.000000104,55.87875615033238
1,1,43161500.00000009,294.2160872528977
1,1,48137600.00000009,337.30590279724373
1,1,48137600.00000009,358.75658635106873
1,0,14548300.000000017,33.7066598704864
1,1,26564099.99999989,123.5246522917809
1,1,26564099.99999989,140.411125441359
1,0,14230299.999999989,70.54551403444431
1,1,22689599.999999918,216.85765896644088
1,0,43965700.00000007,307.27839475541924
1,0,38128399.99999996,266.48122392211417
1,0,27756299.9999999,122.33049502855935
1,0,29094600.000000063,64.34168013817246
1,0,31791199.999999955,72.28131124581083
1,0,27593399.999999966,72.36967719600086
1,0,14482200.000000011,33.15628248158139
1,0,17095899.999999966,53.77557311457256
1,1,17440399.999999937,145.487003236678
1,1,17440399.999999937,120.09227061456318
1,1,23206799.99999993,181.0555880631943
1,1,10019700.000000011,154.37009875668116
1,1,11824300.000000076,187.80952683492657
1,0,11038300.000000017,136.86331399097307
1,0,13104199.999999983,162.47830184000293
1,0,13104199.999999983,110.82431941002764
1,1,19836599.99999989,272.1854032025695
1,0,21633099.999999978,118.88016969457225
1,0,20732500.0,113.93111103784115
1,0,15154600.000000063,76.39716483671673
1,0,15154600.000000063,63.88927534032359
1,0,19066000.00000006,88.13346214828239
1,0,20679299.99999993,84.0341837273749
1,0,16541799.99999993,109.15365631557323
1,0,12094900.000000052,51.329615671895226
1,0,12094900.000000052,58.48795655558986
1,0,12094900.000000052,58.48795655558986
1,0,21504199.99999998,177.79559979826115
1,0,21504199.99999998,177.79559979826115
1,0,14092500.0,116.51605222035684
1,0,16763200.00000007,77.95314403697921
1,0,14189100.000000035,65.98292426595756
1,0,15264300.000000076,70.98287776341408
1,0,25033899.999999993,119.27606941043018
1,1,25033899.999999993,149.33843180299638
1,1,25033899.999999993,164.0029349527975
1,1,20270899.999999966,251.48439923081565
1,1,20270899.999999966,228.70859283328602
1,1,22944299.99999993,209.31142695542775
1,0,14940999.999999912,73.70664351360787
