feature,target,pearson_r,pearson_p,spearman_r,spearman_p,n,abs_spearman
H4_range_ratio,C5_high_excursion,0.00922065374624745,0.5950721940725161,0.07872770881184772,5.4932719946234495e-06,3325,0.07872770881184772
C1_body,C7_high_excursion,-0.06559063097700818,0.00015383590460396176,-0.07869670494624456,5.540288562409991e-06,3325,0.07869670494624456
H4_return_change,C7_return,-0.04032101609252774,0.020066908352025792,-0.07865192540532472,5.60887581555908e-06,3325,0.07865192540532472
H4_2_return,C7_return,-0.039562493713321385,0.02252951766174986,-0.07842895997450286,5.962653125467084e-06,3325,0.07842895997450286
C2_trades,C6_high_excursion,-0.04908451663909642,0.004640366544413332,-0.07782502542896495,7.03134072314957e-06,3325,0.07782502542896495
H4_return_change,C6_return,-0.037825438885690114,0.02917738193923234,-0.07763559563091568,7.402688898248355e-06,3325,0.07763559563091568
C1_trades,C7_high_excursion,-0.04753445606270433,0.0061161314069891745,-0.07734329388272707,8.012711835419418e-06,3325,0.07734329388272707
C7_direction,C6_return,-0.07953988839170845,4.389220168871023e-06,-0.07720024272476829,8.32848220540067e-06,3325,0.07720024272476829
H4_1_trades,C6_high_excursion,-0.0485804112638301,0.005080510561758722,-0.07551907276931803,1.3052049500905443e-05,3325,0.07551907276931803
C4_volume,C5_low_excursion,-0.015367957441777878,0.3756828596820738,-0.07518145317413336,1.4268608137342848e-05,3325,0.07518145317413336
C4_trades_ratio,C5_high_excursion,-0.0030686829498528675,0.8596004697809626,0.0749839609482248,1.502957274240864e-05,3325,0.0749839609482248
H4_2_return,C6_return,-0.03551538711271585,0.04058027731989856,-0.07491987535774812,1.528470671336083e-05,3325,0.07491987535774812
C4_C3_range_ratio,C5_low_excursion,-0.0343476272135229,0.04765630767233104,-0.07463019176869744,1.6490363533015925e-05,3325,0.07463019176869744
H4_2_close_location,C5_return,-0.03413883137665697,0.04902495304887079,-0.07344123017608235,2.2455706612135473e-05,3325,0.07344123017608235
H4_2_body,C7_high_excursion,-0.06290594193765808,0.00028389967525794494,-0.07337676761549489,2.2831808536846676e-05,3325,0.07337676761549489
H4_2_close_location,C7_return,-0.04386326010628759,0.011421041052033301,-0.0732172712224253,2.378830142421251e-05,3325,0.0732172712224253
H4_2_trades,C7_high_excursion,-0.042573285895203955,0.014085110799771481,-0.07305802188091373,2.4781254963961404e-05,3325,0.07305802188091373
C4_close_location,C5_high_excursion,-0.010113243742989901,0.5599244564101553,-0.07271994398865424,2.702144047124556e-05,3325,0.07271994398865424
C4_close_position,C5_high_excursion,0.0041604082881594225,0.8104762526928473,-0.07254929414311219,2.8224044900174568e-05,3325,0.07254929414311219
C2_body,C7_high_excursion,-0.06362293354221771,0.00024158696361074273,-0.07231936256047299,2.992504151993375e-05,3325,0.07231936256047299
C4_close_location,C5_return,-0.03498970669610356,0.043647113711189116,-0.07185819209983234,3.363463757741967e-05,3325,0.07185819209983234
C3_C4_return,C7_return,-0.037025197669462044,0.032768667481887365,-0.07141933524676279,3.756697764295712e-05,3325,0.07141933524676279
C7_direction,C6_low_excursion,-0.059146156191933155,0.0006443166075948994,-0.07138152296970374,3.792547502330315e-05,3325,0.07138152296970374
H4_1_lower_wick,C6_high_excursion,-0.06067223058040257,0.0004644891301693559,-0.07092156440017451,4.2554502414863896e-05,3325,0.07092156440017451
C1_trades,C6_high_excursion,-0.03866101768672614,0.0257940699098138,-0.0707722552702063,4.4168967448235226e-05,3325,0.0707722552702063
C4_close_position,C5_return,-0.02827343389867157,0.10309334702874527,-0.07030349054115674,4.962340963115575e-05,3325,0.07030349054115674
H4_2_upper_wick_ratio,C5_high_excursion,0.026445036015904862,0.12736178993979153,0.07023375788414996,5.0487393158106677e-05,3325,0.07023375788414996
H4_2_range,C6_low_excursion,0.09650809654939992,2.46317361398729e-08,0.0699929659899988,5.358165042319146e-05,3325,0.0699929659899988
H4_2_body,C5_high_excursion,-0.08589767158604061,7.034492294029666e-07,-0.06970470944874665,5.752211219802037e-05,3325,0.06970470944874665
H4_1_lower_wick,C7_high_excursion,-0.057302456540054905,0.0009474124773759838,-0.06955850261775932,5.962412700860468e-05,3325,0.06955850261775932
C3_range,C5_low_excursion,0.1024745236637163,3.1738590608080185e-09,0.06876536897407697,7.235328371222455e-05,3325,0.06876536897407697
all_bearish,C5_return,0.041397755066088775,0.016975554225352858,0.0687336252273646,7.291273122764737e-05,3325,0.0687336252273646
C1_body,C6_high_excursion,-0.06883306461887526,7.117375146829749e-05,-0.06856548037218929,7.594493852640125e-05,3325,0.06856548037218929
C4_close_position,C7_return,-0.031990182821269905,0.06512160981333709,-0.0684242990475857,7.85825673881165e-05,3325,0.0684242990475857
C4_close,C7_return,-0.0566303192151162,0.001087484460469302,-0.0681231572092951,8.450070715492295e-05,3325,0.0681231572092951
H4_2_close,C7_return,-0.0566303192151162,0.001087484460469302,-0.0681231572092951,8.450070715492295e-05,3325,0.0681231572092951
all_bearish,C7_return,0.04131374234453765,0.01720076500612156,0.06759460265117621,9.591850137745375e-05,3325,0.06759460265117621
C4_low,C7_return,-0.05657030406552375,0.001100880214988993,-0.06737618308632035,0.00010104952332174222,3325,0.06737618308632035
H4_2_close_location,C6_return,-0.032694999584092846,0.05941894199394626,-0.06702198627736662,0.00010992430255270946,3325,0.06702198627736662
C4_close_position,C6_return,-0.02837984523057517,0.10180277327026649,-0.06688090964046702,0.00011365975743570777,3325,0.06688090964046702
H4_2_low,C7_return,-0.05657026896948705,0.0011008880930720893,-0.06655410342709878,0.0001227778310782835,3325,0.06655410342709878
C4_vs_avg_range,C6_high_excursion,0.010071415500288011,0.5615488301442186,0.06626826434868632,0.00013131378790079185,3325,0.06626826434868632
C4_return,C5_high_excursion,-0.009987115312389494,0.5648294798413348,-0.06600934046268848,0.00013952564423580678,3325,0.06600934046268848
