zone,direction,reference,level_pips,n,hit_probability,median_projection_pips,p75_projection_pips,p90_projection_pips
60-75%,down,C5C6_low,1500,518,0.3301158301158301,0.0,8690.249999999833,38639.899999999034
60-75%,down,C5C6_low,2000,518,0.32432432432432434,0.0,8690.249999999833,38639.899999999034
75-90%,up,C5C6_high,50,551,0.29764065335753176,0.0,4787.000000000262,27525.0
75-90%,up,C5C6_high,100,551,0.29764065335753176,0.0,4787.000000000262,27525.0
75-90%,up,C5C6_high,250,551,0.294010889292196,0.0,4787.000000000262,27525.0
75-90%,up,C5C6_high,500,551,0.29038112522686027,0.0,4787.000000000262,27525.0
75-90%,up,C5C6_high,750,551,0.2849364791288566,0.0,4787.000000000262,27525.0
75-90%,up,C5C6_high,800,551,0.2849364791288566,0.0,4787.000000000262,27525.0
75-90%,up,C5C6_high,1000,551,0.2831215970961887,0.0,4787.000000000262,27525.0
75-90%,up,C5C6_high,1500,551,0.279491833030853,0.0,4787.000000000262,27525.0
75-90%,up,C5C6_high,2000,551,0.27404718693284935,0.0,4787.000000000262,27525.0
75-90%,down,C5C6_low,50,551,0.37568058076225047,0.0,11210.000000000218,36722.00000000012
75-90%,down,C5C6_low,100,551,0.37568058076225047,0.0,11210.000000000218,36722.00000000012
75-90%,down,C5C6_low,250,551,0.3738656987295826,0.0,11210.000000000218,36722.00000000012
75-90%,down,C5C6_low,500,551,0.3684210526315789,0.0,11210.000000000218,36722.00000000012
75-90%,down,C5C6_low,750,551,0.3666061705989111,0.0,11210.000000000218,36722.00000000012
75-90%,down,C5C6_low,800,551,0.3666061705989111,0.0,11210.000000000218,36722.00000000012
75-90%,down,C5C6_low,1000,551,0.36116152450090744,0.0,11210.000000000218,36722.00000000012
75-90%,down,C5C6_low,1500,551,0.35571687840290384,0.0,11210.000000000218,36722.00000000012
75-90%,down,C5C6_low,2000,551,0.3502722323049002,0.0,11210.000000000218,36722.00000000012
90-100%,up,C5C6_high,50,329,0.2553191489361702,0.0,1813.0000000004657,30788.199999999477
90-100%,up,C5C6_high,100,329,0.2553191489361702,0.0,1813.0000000004657,30788.199999999477
90-100%,up,C5C6_high,250,329,0.2553191489361702,0.0,1813.0000000004657,30788.199999999477
90-100%,up,C5C6_high,500,329,0.25227963525835867,0.0,1813.0000000004657,30788.199999999477
90-100%,up,C5C6_high,750,329,0.25227963525835867,0.0,1813.0000000004657,30788.199999999477
90-100%,up,C5C6_high,800,329,0.25227963525835867,0.0,1813.0000000004657,30788.199999999477
90-100%,up,C5C6_high,1000,329,0.25227963525835867,0.0,1813.0000000004657,30788.199999999477
90-100%,up,C5C6_high,1500,329,0.25227963525835867,0.0,1813.0000000004657,30788.199999999477
90-100%,up,C5C6_high,2000,329,0.24620060790273557,0.0,1813.0000000004657,30788.199999999477
90-100%,down,C5C6_low,50,329,0.3677811550151976,0.0,11168.00000000003,42408.199999999466
90-100%,down,C5C6_low,100,329,0.3677811550151976,0.0,11168.00000000003,42408.199999999466
90-100%,down,C5C6_low,250,329,0.3677811550151976,0.0,11168.00000000003,42408.199999999466
90-100%,down,C5C6_low,500,329,0.3586626139817629,0.0,11168.00000000003,42408.199999999466
90-100%,down,C5C6_low,750,329,0.3495440729483283,0.0,11168.00000000003,42408.199999999466
90-100%,down,C5C6_low,800,329,0.3495440729483283,0.0,11168.00000000003,42408.199999999466
90-100%,down,C5C6_low,1000,329,0.3465045592705167,0.0,11168.00000000003,42408.199999999466
90-100%,down,C5C6_low,1500,329,0.3465045592705167,0.0,11168.00000000003,42408.199999999466
90-100%,down,C5C6_low,2000,329,0.3465045592705167,0.0,11168.00000000003,42408.199999999466
